Rank,ASN,AS Name,CC,Users (est.),% of country,% of Internet,Samples
37,AS21928,T-MOBILE-AS21928,US,15157169,6.06,0.36,2665892
38,AS17621,CNCGROUP-SH China Unicom Shanghai network,CN,14895117,1.79,0.354,119886
39,AS4761,INDOSAT-INP-AP INDOSAT Internet Network Provider,ID,14096923,11.78,0.335,2485378
40,AS7303,Telecom Argentina S.A.,AR,14077733,36.98,0.33399999999999996,1841694
41,AS3215,France Telecom - Orange,FR,13856104,25.58,0.32899999999999996,734100
42,AS3209,VODANET International IP-Backbone of Vodafone,DE,13786815,19.5,0.327,578512
43,AS9829,BSNL-NIB National Internet Backbone,IN,12950460,2.16,0.308,1596714
44,AS5607,BSKYB-BROADBAND-AS,GB,12791468,19.56,0.304,1350442
45,AS3352,TELEFONICA_DE_ESPANA,ES,12121633,28.42,0.28800000000000003,536597
46,AS132199,GLOBE-MOBILE-5TH-GEN-AS Globe Telecom Inc.,PH,12021614,16.26,0.28600000000000003,2147147
47,AS24203,NAPXLNET-AS-ID PT XL Axiata,ID,11996670,10.03,0.285,2115090
48,AS17639,CONVERGE-AS Converge ICT Solutions Inc.,PH,11986795,16.21,0.285,2140928
49,AS36947,ALGTEL-AS,DZ,11908956,47.42,0.28300000000000003,1642798
50,AS2856,BT-UK-AS BTnet UK Regional network,GB,11874572,18.16,0.282,1253642
51,AS5089,NTL,GB,11798417,18.04,0.28,1245602
52,AS39891,ALJAWWALSTC-AS,SA,11421314,34.43,0.271,1599409
53,AS9318,SKB-AS SK Broadband Co Ltd,KR,11057683,21.54,0.263,1641987
54,AS13999,"Mega Cable, S.A. de C.V.",MX,10741983,11.7,0.255,1290670
55,AS6167,CELLCO-PART,US,10735997,4.29,0.255,1888282
56,AS3462,HINET Data Communication Business Group,TW,10709765,40.34,0.254,1095838
57,AS8048,"CANTV Servicios, Venezuela",VE,10667657,53.55,0.253,1124399
58,AS17816,CHINA169-GZ China Unicom IP network China169 Guangdong province,CN,10619757,1.28,0.252,85475
59,AS4788,"TMNET-AS-AP TM Net, Internet Service Provider",MY,10340791,36.73,0.24600000000000002,3119294
60,AS17072,TOTAL PLAY TELECOMUNICACIONES SA DE CV,MX,10234376,11.15,0.243,1229680
61,AS10620,Telmex Colombia S.A.,CO,10147250,28.74,0.24100000000000002,1058013
62,AS6147,Telefonica del Peru S.A.A.,PE,9927009,53.7,0.23600000000000002,1168610
63,AS701,UUNET,US,9807927,3.92,0.233,1725050
64,AS8359,MTS,RU,9778617,8.18,0.23199999999999998,313388
65,AS20057,ATT-MOBILITY-LLC-AS20057,US,9709691,3.88,0.231,1707772
66,AS328309,Globacom-AS,NG,9678975,15.06,0.23,1298689
67,AS24400,"CMNET-V4SHANGHAI-AS-AP Shanghai Mobile Communications Co.,Ltd.",CN,9547158,1.15,0.22699999999999998,76842
68,AS18403,FPT-AS-AP The Corporation for Financing & Promoting Technology,VN,9389419,17.3,0.223,3075930
69,AS24560,"AIRTELBROADBAND-AS-AP Bharti Airtel Ltd., Telemedia Services",IN,9388965,1.56,0.223,1157603
70,AS34984,TELLCOM-AS,TR,9346416,14.52,0.222,1268061
71,AS136255,"TIMCL-AS-AP Telecom International Myanmar Co., Ltd",MM,9081478,41.24,0.21600000000000003,1626358
72,AS20115,CHARTER-20115,US,9033601,3.61,0.215,1588859
73,AS17552,TRUEONLINE-AS-AP True Online,TH,8959654,19.56,0.213,1675384
74,AS45727,"THREE-AS-ID Hutchison CP Telecommunications, PT",ID,8894213,7.43,0.21100000000000002,1568107
75,AS12479,UNI2-AS,ES,8884669,20.83,0.21100000000000002,393304
76,AS1221,ASN-TELSTRA Telstra Corporation Ltd,AU,8722683,38.97,0.207,690527
77,AS7738,Telemar Norte Leste S.A.,BR,8670408,5.22,0.20600000000000002,439838
78,AS30873,PTC-YEMENNET,YE,8668406,97.38,0.20600000000000002,547569
79,AS9988,MPT-AP Myanma Posts and Telecommunications,MM,8665273,39.35,0.20600000000000002,1551822
80,AS4775,GLOBE-TELECOM-AS Globe Telecoms,PH,8617580,11.66,0.205,1539162
81,AS131445,AIS3G-2100-AS-AP Advance Wireless Network,TH,8616746,18.81,0.205,1611263
82,AS30986,SCANCOM,GH,8568829,62.12,0.204,2959096
83,AS25019,SAUDINETSTC-AS,SA,8469477,25.53,0.201,1186042
84,AS3269,ASN-IBSNAZ,IT,8408436,21.92,0.2,518692
85,AS24940,HETZNER-AS,DE,8391027,11.87,0.19899999999999998,352098
86,AS21859,ZNET,US,8291688,3.31,0.19699999999999998,1458369
87,AS1267,ASN-WINDTRE IUNET,IT,8219677,21.43,0.195,507048
88,AS16345,BEE-AS Russia,RU,8214103,6.87,0.195,263248
89,AS16276,OVH,FR,8212813,15.16,0.195,435117
90,AS8193,BRM-AS,UZ,8174589,39.18,0.19399999999999998,205320
91,AS5384,EMIRATES-INTERNET Emirates Internet,AE,8133633,81.84,0.193,1912202
92,AS17557,PKTELECOM-AS-PK Pakistan Telecommunication Company Limited,PK,8038887,22.05,0.191,3302969
93,AS24389,GRAMEENPHONE-AS-AP GrameenPhone Ltd.,BD,8015114,23.85,0.19,5179767
94,AS9605,"DOCOMO NTT DOCOMO, INC.",JP,7882437,6.98,0.187,204377
95,AS4847,CNIX-AP China Networks Inter-Exchange,CN,7853836,0.95,0.187,63213
96,AS17622,CNCGROUP-GZ China Unicom Guangzhou network,CN,7730214,0.93,0.184,62218
97,AS5617,TPNET,PL,7624332,24.22,0.18100000000000002,428278
98,AS12322,PROXAD,FR,7593809,14.02,0.18,402322
99,AS15557,LDCOMNET,FR,7569517,13.98,0.18,401035
100,AS35819,MOBILY-AS Etihad Etisalat Company Mobily,SA,7498121,22.6,0.17800000000000002,1050016
101,AS10139,"SMARTBRO-PH-AP Smart Broadband, Inc.",PH,7483606,10.12,0.17800000000000002,1336626
102,AS4538,ERX-CERNET-BKB China Education and Research Network Center,CN,7295359,0.88,0.17300000000000001,58718
103,AS30722,VODAFONE-IT-ASN,IT,7227087,18.84,0.172,445818
104,AS45629,JASTEL-NETWORK-TH-AP JasTel Network International Gateway,TH,7138213,15.59,0.17,1334789
105,AS56047,CMNET-HUNAN-AP China Mobile communications corporation,CN,6976922,0.84,0.166,56155
106,AS26599,TELEFONICA BRASIL S.A,BR,6963679,4.2,0.165,353258
107,AS22773,ASN-CXA-ALL-CCI-22773-RDC,US,6963335,2.78,0.165,1224734
108,AS27725,"Empresa de Telecomunicaciones de Cuba, S.A.",CU,6912840,99.92,0.16399999999999998,30271
109,AS27699,TELEFONICA BRASIL S.A,BR,6904068,4.16,0.16399999999999998,350234
110,AS8708,RCS-RDS 73-75 Dr. Staicovici,RO,6869228,49.73,0.163,1165564
111,AS28548,"Cablevision, S.A. de C.V.",MX,6823144,7.43,0.162,819814
112,AS29256,INT-PDN-STE-AS STE PDN Internal AS,SY,6787625,100.0,0.161,2475058
113,AS24432,"AXIATA-ROBI-AS-AP TM International Bangladesh Ltd.Internet service Provider,Gulshan-1,Dhaka-1212",BD,6754840,20.1,0.16,4365315
114,AS17858,POWERVIS-AS-KR LG POWERCOMM,KR,6710154,13.07,0.159,996410
115,AS18881,TELEFONICA BRASIL S.A,BR,6691171,4.03,0.159,339434
116,AS16135,TURKCELL-AS Turkcell A.S.,TR,6642557,10.32,0.158,901219
117,AS9121,TTNET,TR,6599255,10.25,0.157,895344
118,AS56048,CMNET-BEIJING-AP China Mobile Communicaitons Corporation,CN,6598723,0.79,0.157,53111
119,AS577,BACOM,CA,6555640,18.0,0.156,710905
120,AS4816,CHINANET-IDC-GD China Telecom Group,CN,6446524,0.78,0.153,51886
121,AS28403,"RadioMovil Dipsa, S.A. de C.V.",MX,6274830,6.84,0.149,753933
122,AS9198,KAZTELECOM-AS,KZ,6240573,40.85,0.14800000000000002,294398
123,AS59257,CMPAKLIMITED-AS-AP CMPak Limited,PK,6022779,16.52,0.14300000000000002,2474603
124,AS5410,BOUYGTEL-ISP,FR,5970978,11.02,0.142,316344
125,AS37075,ZAINUGAS,UG,5920874,44.86,0.141,256462
126,AS33771,SAFARICOM-LIMITED,KE,5689741,54.52,0.135,2542828
127,AS24444,CMNET-V4SHANDONG-AS-AP Shandong Mobile Communication Company Limited,CN,5664036,0.68,0.135,45588
128,AS29571,ORANGE-COTE-IVOIRE,CI,5655918,43.62,0.134,320357
129,AS36998,SDN-MOBITEL,SD,5606737,35.8,0.133,356139
130,AS18004,WIRELESSNET-ID PT WIRELESS INDONESIA WIN,ID,5589518,4.67,0.133,985468
131,AS24378,ENGTAC-AS-TH-AP Total Access Communication PLC.,TH,5577900,12.18,0.133,1043023
132,AS15897,VODAFONETURKEY,TR,5510221,8.56,0.131,747591
133,AS26615,TIM SA,BR,5462496,3.29,0.13,277105
134,AS22394,CELLCO,US,5457126,2.18,0.13,959817
135,AS17623,CNCGROUP-SZ China Unicom Shenzen network,CN,5410081,0.65,0.129,43544
136,AS812,ROGERS-COMMUNICATIONS,CA,5368034,14.74,0.128,582119
137,AS45669,MOBILINK-AS-PK PMCL LDI IP TRANSIT,PK,5253438,14.41,0.125,2158501
138,AS5713,SAIX-NET,ZA,5238891,14.59,0.124,337076
139,AS36992,ETISALAT-MISR,EG,5233684,9.77,0.124,1755654
140,AS15706,Sudatel,SD,5197967,33.19,0.12300000000000001,330174
141,AS8167,Brasil Telecom SA - Filial Distrito Federal,BR,5195309,3.13,0.12300000000000001,263551
142,AS10796,TWC-10796-MIDWEST,US,5142644,2.06,0.122,904505
143,AS209,CENTURYLINK-US-LEGACY-QWEST,US,5127333,2.05,0.122,901812
144,AS9534,MAXIS-AS1-AP Binariang Berhad,MY,5124262,18.2,0.122,1545731
145,AS134772,CHINANET-GUANGDONG-DONGGUAN-MAN CHINANET Guangdong province Dongguan MAN network,CN,5084934,0.61,0.121,40927
146,AS12430,VODAFONE_ES,ES,5032064,11.8,0.12,222758
147,AS15895,KSNET-AS,UA,4997762,17.49,0.11900000000000001,536470
148,AS6400,Compania Dominicana de Telefonos S. A.,DO,4988370,63.02,0.11900000000000001,1473529
149,AS6805,TDDE-ASN1,DE,4962507,7.02,0.11800000000000001,208233
150,AS3816,COLOMBIA TELECOMUNICACIONES S.A. ESP,CO,4908542,13.9,0.11699999999999999,511794
151,AS15704,AS15704,ES,4832731,11.33,0.115,213934
152,AS23700,FASTNET-AS-ID Linknet-Fastnet ASN,ID,4818213,4.03,0.114,849482
153,AS8346,SONATEL-AS Autonomous System,SN,4792453,76.33,0.114,505090
154,AS327712,ATM,DZ,4766553,18.98,0.113,657529
155,AS20001,TWC-20001-PACWEST,US,4676506,1.87,0.111,822519
156,AS20294,MTN-,UG,4603059,34.88,0.109,199381
157,AS29975,VODACOM-,ZA,4577044,12.75,0.109,294492
158,AS16637,MTNNS-AS,ZA,4564190,12.71,0.10800000000000001,293665
159,AS12252,America Movil Peru S.A.C.,PE,4548172,24.6,0.10800000000000001,535412
160,AS9644,SKTELECOM-NET-AS SK Telecom,KR,4533652,8.83,0.10800000000000001,673215
161,AS23969,TOT-NET TOT Public Company Limited,TH,4521582,9.87,0.107,845500
162,AS36972,MTN,SD,4495069,28.7,0.107,285526
163,AS37020,CELTEL-DRC,CD,4491964,37.37,0.107,163210
164,AS51167,CONTABO,DE,4477011,6.33,0.106,187861
165,AS22085,Claro SA,BR,4475854,2.7,0.106,227054
166,AS36925,ASMedi,MA,4454106,17.93,0.106,863064
167,AS36935,Vodafone-,EG,4437718,8.28,0.105,1488645
168,AS27747,Telecentro S.A.,AR,4422985,11.62,0.105,578629
169,AS136200,CHINANET-GUANGDONG-FOSHAN-MAN CHINANET Guangdong province Foshan MAN network,CN,4414017,0.53,0.105,35527
170,AS133481,AIS-FIBRE-AS-AP AIS Fibre,TH,4413717,9.64,0.105,825330
171,AS33779,wataniya-telecom-as,DZ,4397373,17.51,0.10400000000000001,606602
172,AS24835,RAYA-AS,EG,4390555,8.19,0.10400000000000001,1472824
173,AS18001,DIALOG-AS Dialog Axiata PLC.,LK,4331988,52.98,0.10300000000000001,2528253
174,AS20978,TT_MOBIL Istanbul,TR,4293550,6.67,0.102,582521
175,AS33915,TNF-AS,NL,4290896,26.06,0.102,256441
176,AS852,TELUS Communications,CA,4286763,11.77,0.102,464864
177,AS9824,JTCL-JP-AS Jupiter Telecommunication Co. Ltd,JP,4258499,3.77,0.10099999999999999,110415
178,AS37457,Telkom-Internet,ZA,4217849,11.74,0.1,271381
179,AS132061,REALMOVE-AS-AP Realmove Company Limited,TH,4216912,9.21,0.1,788529
180,AS12576,EE Ltd,GB,4210965,6.44,0.1,444567
181,AS5432,PROXIMUS-ISP-AS,BE,4207601,40.23,0.1,164357
182,AS43766,MTC-KSA-AS,SA,4200255,12.66,0.1,588192
183,AS2527,SO-NET Sony Network Communications Inc.,JP,4198487,3.72,0.1,108859
184,AS12874,FASTWEB,IT,4169235,10.87,0.099,257188
185,AS4804,MPX-AS Microplex PTY LTD,AU,4138862,18.49,0.098,327651
186,AS327931,Optimum-Telecom-Algeria,DZ,4025149,16.03,0.096,555255
187,AS14754,Telgua,GT,4024118,42.53,0.096,312813
188,AS7418,TELEFONICA CHILE S.A.,CL,4018645,24.41,0.095,234577
189,AS13489,EPM Telecomunicaciones S.A. E.S.P.,CO,3975812,11.26,0.094,414542
190,AS9009,M247,US,3968610,1.59,0.094,698012
191,AS37342,MOVITEL,MZ,3939341,49.2,0.094,109416
192,AS36974,AFNET-AS,CI,3923640,30.26,0.09300000000000001,222239
193,AS201767,"UZMOBILE-AS Nukus str. 22A, Tashkent 100100, Uzbekistan",UZ,3865451,18.53,0.092,97088
194,AS5769,VIDEOTRON,CA,3803000,10.44,0.09,412404
195,AS22927,Telefonica de Argentina,AR,3713554,9.75,0.08800000000000001,485819
196,AS6697,BELPAK-AS BELPAK,BY,3707414,48.22,0.08800000000000001,2096522
197,AS17511,OPTAGE OPTAGE Inc.,JP,3692704,3.27,0.08800000000000001,95745
198,AS27831,Colombia Movil,CO,3687712,10.44,0.08800000000000001,384503
199,AS17421,EMOME-NET Mobile Business Group,TW,3687499,13.89,0.08800000000000001,377310
200,AS4818,DIGIIX-AP DiGi Telecommunications Sdn. Bhd.,MY,3682559,13.08,0.08800000000000001,1110842
201,AS1136,KPN KPN National,NL,3674371,22.32,0.087,219595
202,AS6327,SHAW,CA,3654672,10.03,0.087,396319
203,AS24445,"CMNET-V4HENAN-AS-AP Henan Mobile Communications Co.,Ltd",CN,3639852,0.44,0.086,29296
204,AS22047,VTR BANDA ANCHA S.A.,CL,3628082,22.04,0.086,211779
205,AS8374,PLUSNET Plus network operator in Poland,PL,3615415,11.49,0.086,203087
206,AS24547,CMNET-V4HEBEI-AS-AP Hebei Mobile Communication Company Limited,CN,3571394,0.43,0.085,28745
207,AS45245,"BANGLALINK-AS banglalink an Orascom Telecom Company, providing GSM Telecom service in Bangladesh",BD,3542381,10.54,0.084,2289264
208,AS6128,CABLE-NET-1,US,3532201,1.41,0.084,621255
209,AS6848,TELENET-AS,BE,3527757,33.73,0.084,137801
210,AS24961,MYLOC-AS IP Backbone of myLoc managed IT AG,DE,3526968,4.99,0.084,147996
211,AS2518,BIGLOBE BIGLOBE Inc.,JP,3511087,3.11,0.083,91036
212,AS13285,OPALTELECOM-AS TalkTalk Communications Limited,GB,3492632,5.34,0.083,368730
213,AS33363,BHN-33363,US,3456082,1.38,0.08199999999999999,607867
214,AS30992,MTN-NS-CAMEROON,CM,3449361,52.24,0.08199999999999999,523376
215,AS7545,TPG-INTERNET-AP TPG Telecom Limited,AU,3446708,15.4,0.08199999999999999,272857
216,AS31133,MF-MGSM-AS PJSC MegaFon,RU,3408324,2.85,0.081,109231
217,AS38466,UMOBILE-AS-AP U Mobile Sdn Bhd,MY,3354344,11.91,0.08,1011836
218,AS11426,TWC-11426-CAROLINAS,US,3328879,1.33,0.079,585494
219,AS6799,OTENET-GR Athens - Greece,GR,3328620,44.04,0.079,1402457
220,AS11427,TWC-11427-TEXAS,US,3327412,1.33,0.079,585236
221,AS37287,ZAIN-ZAMBIA,ZM,3313948,52.82,0.079,415355
222,AS3303,SWISSCOM Swisscom Switzerland Ltd,CH,3274330,37.48,0.078,100470
223,AS12958,MCC Tele2 Russia Network,RU,3236958,2.71,0.077,103739
224,AS29614,GHANATEL-AS,GH,3224016,23.37,0.077,1113358
225,AS37190,ATLANTIQUE-TELECOM-,CI,3216220,24.8,0.076,182170
226,AS24499,TPP-AS-PK Telenor Pakistan,PK,3175482,8.71,0.075,1304723
227,AS10030,CELCOMNET-AP Celcom Axiata Berhad,MY,3170833,11.26,0.075,956480
228,AS38019,CMNET-V4TIANJIN-AS-AP tianjin Mobile Communication Company Limited,CN,3161016,0.38,0.075,25442
229,AS47524,TURKSAT-AS,TR,3147247,4.89,0.075,426998
230,AS8402,CORBINA-AS OJSC Vimpelcom,RU,3145066,2.63,0.075,100794
231,AS12876,Online SAS,FR,3144794,5.81,0.075,166612
232,AS11351,TWC-11351-NORTHEAST,US,3081828,1.23,0.073,542042
233,AS11664,Techtel LMDS Comunicaciones Interactivas S.A.,AR,3054313,8.02,0.073,399575
234,AS36908,VTL-ASN,TZ,3042277,23.12,0.07200000000000001,369475
235,AS8386,KOCNET,TR,2999605,4.66,0.071,406967
236,AS206206,KNET,IQ,2996102,8.29,0.071,520025
237,AS327885,Viettel-Tanzania,TZ,2981847,22.66,0.071,362136
238,AS39603,P4NET P4 UMTS operator in Poland,PL,2968853,9.43,0.071,166768
239,AS16232,ASN-TIM Service Provider,IT,2953000,7.7,0.07,182162
240,AS63023,AS-GLOBALTELEHOST,US,2916031,1.17,0.069,512881
241,AS11888,"Television Internacional, S.A. de C.V.",MX,2913220,3.17,0.069,350029
242,AS5650,FRONTIER-FRTR,US,2901760,1.16,0.069,510371
243,AS37054,Telecom-Malagasy,MG,2881276,61.34,0.068,46887
244,AS6306,"TELEFONICA VENEZOLANA, C.A.",VE,2879587,14.45,0.068,303516
245,AS27947,Telconet S.A,EC,2866490,24.97,0.068,413507
246,AS41202,UNITEL,UZ,2862459,13.72,0.068,71896
247,AS9541,CYBERNET-AP Cyber Internet Services Pvt Ltd.,PK,2856382,7.84,0.068,1173613
248,AS37705,TOPNET,TN,2842763,36.74,0.068,546820
249,AS17488,HATHWAY-NET-AP Hathway IP Over Cable Internet,IN,2832976,0.47,0.067,349289
250,AS24309,CABLELITE-AS-AP Atria Convergence Technologies Pvt. Ltd. Broadband Internet Service Provider INDIA,IN,2821816,0.47,0.067,347913
251,AS51207,FREEM,FR,2790869,5.15,0.066,147861
252,AS2860,NOS_COMUNICACOES,PT,2788122,34.37,0.066,1039951
253,AS5483,MAGYAR-TELEKOM-MAIN-AS Magyar Telekom Nyrt.,HU,2766578,36.81,0.066,345877
254,AS6739,ONO-AS Cableuropa - ONO,ES,2749452,6.45,0.065,121712
255,AS23201,Telecel S.A.,PY,2746385,52.11,0.065,242624
256,AS27882,Telefonica Celular de Bolivia S.A.,BO,2713482,44.67,0.064,1944581
257,AS12912,TM,PL,2704169,8.59,0.064,151900
258,AS25513,ASN-MGTS-USPD,RU,2679393,2.24,0.064,85870
259,AS6830,"LIBERTYGLOBAL Liberty Global formerly UPC Broadband Holding, aka AORTA",PL,2672320,8.49,0.064,150111
260,AS26611,COMCEL S.A.,CO,2631548,7.45,0.063,274381
261,AS37133,airtel-tz-as,TZ,2630500,19.99,0.063,319466
262,AS8400,TELEKOM-AS,RS,2627541,39.68,0.062,875469
263,AS24158,"TAIWANMOBILE-AS Taiwan Mobile Co., Ltd.",TW,2619403,9.87,0.062,268021
264,AS37453,VODACOM-CONGO,CD,2618803,21.79,0.062,95151
265,AS56044,CMNET-AS-LIAONING China Mobile communications corporation,CN,2617821,0.32,0.062,21070
266,AS3243,MEO-RESIDENCIAL,PT,2602521,32.08,0.062,970723
267,AS28126,BRISANET SERVICOS DE TELECOMUNICACOES LTDA,BR,2572767,1.55,0.061,130513
268,AS19429,ETB - Colombia,CO,2564585,7.26,0.061,267399
269,AS29256,INT-PDN-STE-AS STE PDN Internal AS,RU,2559980,2.14,0.061,82043
270,AS63949,"LINODE-AP Linode, LLC",JP,2551937,2.26,0.061,66167
271,AS50810,MOBINNET-AS AS50855 belongs to rqbank that is mobinnet customer,IR,2526135,3.99,0.06,114557
272,AS9674,"FET-TW Far EastTone Telecommunication Co., Ltd.",TW,2493115,9.39,0.059000000000000004,255099
273,AS48832,ZAIN-,JO,2473482,32.63,0.059000000000000004,1716948
274,AS37531,AIRTEL-NIGER,NE,2468055,52.82,0.059000000000000004,39509
275,AS38623,VIETTELCAMBODIA-AS-AP ISPIXP IN CAMBODIA WITH THE BEST VERVICE IN THERE.,KH,2466999,34.39,0.059000000000000004,387423
276,AS28885,OMANTEL-NAP-AS OmanTel NAP,OM,2446748,55.14,0.057999999999999996,704755
277,AS3301,TELIANET-SWEDEN Telia Company,SE,2436343,23.03,0.057999999999999996,126785
278,AS37035,MIC-AS,TZ,2428807,18.46,0.057999999999999996,294971
279,AS17501,WLINK-NEPAL-AS-AP WorldLink Communications Pvt Ltd,NP,2426157,33.2,0.057999999999999996,1365119
280,AS37105,rain,ZA,2402166,6.69,0.057,154558
281,AS9105,TISCALI-UK TalkTalk Communications Limited,GB,2391496,3.66,0.057,252479
282,AS133982,EXCITEL-AS-IN Excitel Broadband Private Limited,IN,2373140,0.4,0.055999999999999994,292594
283,AS29497,KUBANGSM,RU,2372513,1.99,0.055999999999999994,76035
284,AS17853,LGTELECOM-AS-KR LGTELECOM,KR,2369474,4.62,0.055999999999999994,351850
285,AS8881,VERSATEL,DE,2367779,3.35,0.055999999999999994,99355
286,AS140317,CHINATELECOM-GUANGDONG-SHAOGUAN-5G-NETWORK CHINATELECOM Guangdong province Shaoguan 5G network,CN,2366351,0.28,0.055999999999999994,19046
287,AS48503,TELE2-KZ Tele2 Kazakhstan,KZ,2362255,15.46,0.055999999999999994,111439
288,AS25159,SONICDUO-AS,RU,2347114,1.96,0.055999999999999994,75221
289,AS39832,NO-OPERA,NO,2346194,45.19,0.055999999999999994,237586
290,AS24863,LINKdotNET-AS,EG,2344598,4.38,0.055999999999999994,786502
291,AS37119,unitel-AS,AO,2338376,43.27,0.055999999999999994,74765
292,AS17638,CHINATELECOM-TJ-AS-AP ASN for TIANJIN Provincial Net of CT,CN,2317523,0.28,0.055,18653
293,AS52362,"Servicios Innovadores de Comunicacion y Entretenimiento, S.A.",GT,2307365,24.38,0.055,179362
294,AS23944,SKYBB-AS-AP SKYBroadband SKYCable Corporation,PH,2293535,3.1,0.055,409642
295,AS21277,NEWROZ-TELECOM-ASN,IQ,2291447,6.34,0.054000000000000006,397720
296,AS6057,Administracion Nacional de Telecomunicaciones,UY,2279628,91.08,0.054000000000000006,469662
297,AS37577,Orange-,BF,2278943,54.01,0.054000000000000006,105908
298,AS12302,VODAFONE_RO Charles de Gaulle nr.15,RO,2249123,16.28,0.053,381629
299,AS23724,"CHINANET-IDC-BJ-AP IDC, China Telecommunications Corporation",CN,2248071,0.27,0.053,18094
300,AS28469,AT&T COMUNICACIONES DIGITALES S DE RL,MX,2240971,2.44,0.053,269257
301,AS6713,IAM-AS,MA,2240914,9.02,0.053,434218
302,AS8412,TMA Magenta Telekom,AT,2195496,26.22,0.052000000000000005,64878
303,AS37223,VODACOM-,MZ,2194691,27.41,0.052000000000000005,60958
304,AS45916,GTPL-AS-AP Gujarat Telelink Pvt Ltd,IN,2171581,0.36,0.052000000000000005,267743
305,AS49273,COSCOM-AS,UZ,2167189,10.39,0.052000000000000005,54433
306,AS14061,DIGITALOCEAN-ASN,DE,2153820,3.05,0.051,90377
307,AS36912,ORANGE,CM,2146769,32.51,0.051,325732
308,AS28509,Cablemas Telecomunicaciones SA de CV,MX,2145000,2.34,0.051,257726
309,AS36926,CKL1-ASN,KE,2139118,20.5,0.051,956003
310,AS29447,TIF-AS Iliad Italia S.p.A,IT,2122745,5.53,0.05,130946
311,AS39832,NO-OPERA,DE,2104060,2.98,0.05,88289
312,AS6568,Entel S.A. - EntelNet,BO,2099590,34.57,0.05,1504644
313,AS12735,ASTURKNET,TR,2093813,3.25,0.05,284075
314,AS32934,FACEBOOK,US,2091939,0.84,0.05,367937
315,AS30985,IKATELNET,ML,2066111,66.35,0.049,88186
316,AS34170,AS-AZTELEKOM Azerbaijan Telecomunication ISP,AZ,2054137,25.05,0.049,188036
317,AS37204,TELONE,ZW,2039510,41.93,0.048,219027
